q4	media
2	SNS
3	SNS
3	SNS
3	SNS
2	SNS
4	SNS
2	SNS
3	SNS
1	SNS
1	SNS
2	SNS
3	SNS
3	SNS
3	SNS
3	SNS
3	SNS
2	SNS
1	SNS
3	SNS
2	SNS
3	SNS
2	SNS
3	SNS
2	SNS
3	SNS
3	SNS
2	SNS
2	SNS
2	SNS
2	SNS
3	SNS
3	SNS
4	SNS
3	SNS
2	SNS
1	SNS
2	SNS
3	SNS
2	SNS
4	SNS
2	SNS
2	SNS
2	SNS
2	SNS
3	SNS
1	SNS
2	SNS
4	SNS
3	SNS
3	SNS
1	SNS
1	SNS
3	SNS
3	SNS
1	SNS
2	SNS
3	SNS
3	SNS
2	SNS
2	SNS
1	SNS
1	SNS
2	SNS
2	SNS
3	SNS
1	SNS
3	SNS
3	SNS
2	SNS
1	SNS
3	SNS
1	SNS
3	SNS
3	SNS
3	SNS
4	SNS
2	SNS
3	SNS
1	SNS
3	SNS
1	SNS
3	SNS
3	SNS
2	SNS
1	SNS
2	SNS
4	SNS
2	SNS
1	SNS
4	SNS
2	SNS
3	SNS
1	SNS
2	SNS
3	SNS
3	SNS
1	SNS
2	SNS
3	SNS
3	SNS
2	SNS
2	SNS
3	SNS
3	SNS
2	SNS
2	SNS
4	SNS
2	SNS
3	SNS
1	SNS
2	SNS
2	SNS
2	SNS
3	SNS
3	SNS
1	SNS
2	SNS
1	SNS
3	SNS
1	SNS
3	SNS
2	SNS
2	SNS
3	SNS
2	SNS
2	SNS
3	SNS
3	SNS
3	SNS
1	SNS
2	SNS
3	SNS
2	SNS
2	SNS
2	SNS
2	SNS
3	SNS
3	SNS
1	SNS
3	SNS
1	SNS
2	SNS
1	SNS
3	SNS
2	SNS
4	SNS
2	SNS
4	SNS
3	SNS
4	SNS
2	SNS
1	SNS
2	SNS
2	SNS
3	SNS
1	SNS
1	SNS
3	SNS
3	SNS
3	SNS
3	SNS
2	SNS
3	SNS
2	SNS
2	SNS
3	SNS
1	SNS
3	SNS
3	SNS
4	SNS
3	SNS
2	SNS
1	SNS
2	SNS
1	SNS
2	SNS
2	SNS
1	SNS
3	SNS
2	SNS
1	SNS
3	SNS
2	SNS
2	SNS
4	SNS
1	SNS
2	SNS
4	SNS
2	SNS
3	SNS
3	SNS
1	SNS
3	SNS
3	SNS
2	SNS
3	SNS
1	SNS
1	SNS
3	SNS
3	SNS
2	SNS
2	SNS
1	SNS
3	SNS
3	SNS
2	SNS
3	SNS
3	SNS
2	SNS
3	SNS
3	SNS
3	SNS
2	SNS
1	SNS
2	SNS
4	SNS
4	SNS
2	SNS
1	SNS
2	SNS
3	SNS
1	SNS
2	SNS
3	SNS
3	SNS
1	SNS
2	SNS
3	SNS
2	SNS
2	SNS
2	SNS
1	SNS
1	SNS
3	SNS
2	SNS
3	SNS
4	SNS
3	SNS
2	SNS
1	SNS
3	SNS
3	SNS
3	SNS
2	SNS
2	SNS
4	SNS
3	SNS
2	SNS
3	SNS
3	SNS
1	SNS
3	SNS
3	SNS
2	SNS
1	SNS
2	SNS
2	SNS
2	SNS
1	SNS
2	SNS
3	SNS
3	SNS
3	SNS
1	SNS
3	SNS
2	SNS
2	SNS
4	SNS
2	MS
3	MS
2	MS
2	MS
3	MS
3	MS
3	MS
1	MS
1	MS
2	MS
2	MS
1	MS
3	MS
2	MS
3	MS
3	MS
2	MS
2	MS
2	MS
2	MS
2	MS
2	MS
2	MS
3	MS
2	MS
3	MS
4	MS
3	MS
1	MS
3	MS
3	MS
2	MS
2	MS
3	MS
3	MS
3	MS
2	MS
4	MS
2	MS
2	MS
2	MS
1	MS
3	MS
2	MS
3	MS
3	MS
3	MS
3	MS
2	MS
1	MS
3	MS
2	MS
3	MS
3	MS
3	MS
2	MS
3	MS
3	MS
2	MS
3	MS
2	MS
