MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1s1	q1s2	q1s3	q1s4	q1s5	q1s6	q1s7	q1s8	q1s9	q1s10	q1s11	q1s12	q1s13	q1s14	q1s15	q1s16	q1s17	q1s18	q1s19	q2s1	q2s2	q2s3	q2s4	q2s5	q2s6	q2s7	q2s8	q2s9	q2s10	q2s11	q2s12	q2s13	q2s14	q2s15	q2s16	q2s17	q2s18	q2s19	q3s1	q3s2	q3s3	q3s4	q3s5	q3s6	q3s7	q3s8	q3s9	q3s10	q3s11	q3s12	q3s13	q3s14	q3s15	q3s16	q3s17	q3s18	q3s19
1001965732	2020/10/12 18:16	1	49	5	11	3	4	2	1	2	2	2	2	2	2	2	2	2	2	5	3	2	2	1	1	2	3	3	4	4	4	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	3
1001983064	2020/10/12 17:19	1	44	5	12	3	4	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1001983396	2020/10/12 19:40	1	49	5	13	3	11	1	2	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1002018151	2020/10/12 19:44	2	48	5	42	8	11	1	2	4	3	3	4	4	3	4	3	5	3	3	2	4	3	3	3	3	3	3	4	4	3	4	3	3	4	3	5	3	3	2	3	3	3	3	4	4	3	4	4	3	4	4	3	4	3	5	3	3	2	3	3	3	3	4	3	3
1002037767	2020/10/12 21:29	2	35	4	6	2	11	1	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	2	2	3
1002037973	2020/10/12 17:36	2	44	5	13	3	11	1	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3
1002041771	2020/10/12 17:50	1	37	4	12	3	9	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1002058151	2020/10/12 19:54	1	41	5	12	3	5	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1002095238	2020/10/12 18:27	2	43	5	14	3	3	1	2	3	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	3	3	3	2	2	3	3	3	3	3
1002147227	2020/10/12 20:49	2	37	4	28	5	5	2	1	4	3	4	4	4	4	4	3	4	3	3	2	4	4	3	3	3	3	4	4	4	4	4	4	4	4	3	4	3	3	2	4	4	3	3	3	3	4	4	4	4	4	4	4	4	3	4	3	2	2	4	4	3	3	3	3	4
