MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1	q2	q3s1	q3s2	q3s3	q3s4	q3s5	q4s1	q4s2	q4s3	q4s4	q4s5
1003253800	2020/10/09 21:38	1	40	5	26	5	3	1	2	1	3	2	1	6	2	4	2	3	2	2	2
1003381490	2020/10/10 13:47	2	25	3	4	2	10	1	2	2	2	3	1	1	4	5	3	3	3	3	3
1003384785	2020/10/09 19:06	2	42	5	40	8	11	1	2	2	4	6	6	1	1	5	3	3	3	3	3
1003474985	2020/10/09 20:55	1	49	5	21	4	5	1	2	1	4	6	6	1	1	5	2	3	2	2	3
1003563146	2020/10/09 18:45	1	44	5	11	3	3	1	2	1	4	1	1	1	1	3	3	3	2	3	3
1003564282	2020/10/09 22:53	1	44	5	11	3	5	2	1	1	4	6	6	1	1	6	2	2	2	2	2
1003951348	2020/10/09 18:17	1	39	4	1	1	3	2	2	1	3	1	1	1	1	4	2	3	2	2	2
1004020889	2020/10/09 21:24	1	48	5	1	1	5	1	1	1	4	1	3	1	2	3	4	4	3	2	3
1004048565	2020/10/09 18:06	1	33	4	25	5	2	1	2	1	3	1	4	1	5	5	4	4	3	2	2
1004101120	2020/10/09 18:08	1	40	5	5	2	5	1	2	1	4	1	2	1	2	4	3	4	4	3	3
1004109509	2020/10/09 18:06	2	34	4	28	5	8	2	1	2	3	1	6	1	5	6	4	3	3	3	3
1004124718	2020/10/09 18:54	1	44	5	13	3	3	1	2	1	4	1	1	1	1	1	1	2	2	2	3
1004279116	2020/10/09 17:56	2	29	3	13	3	3	1	2	2	2	1	1	1	1	1	1	1	1	1	1
1004419611	2020/10/09 19:08	1	33	4	8	3	5	1	2	1	3	1	6	3	3	3	2	2	2	2	2
1004426345	2020/10/10 00:02	1	33	4	11	3	4	1	2	1	3	1	6	1	3	4	3	3	3	3	3
1004461974	2020/10/10 09:10	2	31	4	27	5	3	2	2	2	3	1	6	6	6	6	3	3	2	2	2
1004495444	2020/10/09 18:01	1	24	3	14	3	4	1	2	1	2	6	6	1	1	6	1	2	4	3	3
1004502095	2020/10/10 12:58	2	49	5	2	2	3	2	1	2	4	1	1	1	4	6	2	2	2	2	2
1004512533	2020/10/09 23:10	1	43	5	13	3	4	2	1	1	4	2	6	6	4	5	4	4	2	4	4
1004529543	2020/10/09 22:17	1	48	5	27	5	6	1	2	1	4	6	6	1	1	4	1	1	2	2	2
1004529651	2020/10/09 20:42	2	48	5	23	4	8	2	1	2	4	1	1	1	3	3	2	3	2	2	2
1004582632	2020/10/10 13:12	2	22	3	11	3	10	1	2	2	2	1	6	1	1	1	3	3	3	3	3
1004582919	2020/10/09 18:37	1	45	5	14	3	3	1	2	1	4	1	1	1	4	5	1	1	1	1	1
1004597142	2020/10/09 19:06	1	36	4	30	5	4	1	2	1	3	1	1	3	3	6	2	3	2	2	1
1004601100	2020/10/10 11:37	2	36	4	11	3	5	1	1	2	3	1	4	1	1	5	4	4	4	3	3
1004612951	2020/10/09 19:04	1	45	5	26	5	5	2	1	1	4	1	1	1	1	3	3	3	3	3	3
1004617001	2020/10/09 23:32	2	35	4	23	4	8	1	2	2	3	1	6	1	1	4	1	3	3	3	3
1004628029	2020/10/09 22:43	2	38	4	28	5	9	1	1	2	3	1	6	6	6	6	3	3	1	1	1
1004630817	2020/10/09 17:58	1	38	4	27	5	7	1	2	1	3	4	6	1	1	6	1	1	1	1	1
1004631484	2020/10/09 22:15	1	17	2	19	4	10	1	1	1	2	1	1	1	1	5	3	3	3	3	3
1004635937	2020/10/09 21:08	1	42	5	7	2	4	2	1	1	4	1	6	1	1	5	3	4	3	2	2
1004646120	2020/10/09 19:15	2	24	3	27	5	11	1	2	2	2	1	6	1	1	1	1	4	1	1	2
1004648932	2020/10/09 18:55	1	39	4	40	8	5	2	2	1	3	2	4	4	3	3	3	3	2	3	3
1004689976	2020/10/10 00:01	1	35	4	27	5	5	1	2	1	3	2	6	1	1	4	3	3	3	3	3
1004746897	2020/10/09 18:22	1	32	4	37	7	4	1	1	1	3	3	1	2	4	4	1	3	3	2	3
1004764856	2020/10/09 22:49	1	21	3	22	4	7	2	2	1	3	2	2	1	2	1	3	2	2	1	1
1004773004	2020/10/09 23:22	2	23	3	14	3	10	1	2	2	2	2	6	1	3	5	2	2	2	2	2
1004837758	2020/10/09 18:14	1	31	4	28	5	6	1	2	1	3	1	1	1	1	6	1	2	1	2	1
1004846333	2020/10/09 21:26	1	30	4	28	5	4	1	2	3	2	6	6	6	6	6	1	1	1	1	1
1004861443	2020/10/09 18:11	1	29	3	23	4	4	1	1	1	2	1	6	2	1	6	3	3	2	2	3
1004865371	2020/10/10 06:48	2	45	5	18	4	4	1	2	2	4	1	2	1	2	5	2	3	2	2	2
