MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1	q2	q3s1	q3s2	q3s3	q3s4	q3s5	q4s1	q4s2	q4s3	q4s4	q4s5
1007341350	2020/10/09 18:49	1	40	5	37	7	4	2	1	1	4	3	1	1	3	5	2	2	3	3	3
1007343938	2020/10/09 23:21	2	17	2	40	8	10	1	2	2	1	1	6	1	1	6	4	3	3	3	3
1007347019	2020/10/09 18:16	1	15	2	46	8	10	1	2	1	1	1	2	1	1	5	3	4	2	3	3
1007361979	2020/10/10 12:53	2	28	3	28	5	5	1	2	2	2	2	4	6	3	5	3	3	3	3	3
1007379236	2020/10/09 18:41	1	40	5	8	3	4	1	2	1	4	1	6	1	1	1	4	2	3	3	4
1007393893	2020/10/09 20:39	2	28	3	18	4	9	1	2	2	2	1	1	1	6	6	2	4	2	2	2
1007395277	2020/10/10 12:08	2	22	3	47	8	10	1	2	2	2	1	6	1	1	6	3	3	3	3	3
1007396760	2020/10/09 18:40	1	48	5	16	4	4	2	1	1	4	1	4	6	6	5	2	3	3	2	2
1007421627	2020/10/09 19:41	2	42	5	28	5	5	2	1	2	4	1	6	1	4	4	3	3	3	3	3
1007424705	2020/10/09 22:54	2	23	3	29	5	9	1	2	2	2	1	1	1	1	5	3	4	2	3	3
1007434756	2020/10/09 22:29	1	41	5	13	3	5	2	2	1	4	1	4	6	4	4	1	1	1	1	1
1007449861	2020/10/09 21:38	1	18	2	40	8	10	1	2	1	2	1	1	1	2	2	1	1	2	1	1
1007457394	2020/10/10 10:35	2	30	4	33	6	8	2	1	2	3	1	6	1	1	1	4	4	4	4	4
1007490709	2020/10/09 19:13	2	32	4	40	8	9	2	2	2	3	1	6	1	2	3	3	3	4	3	3
1007494244	2020/10/09 21:04	1	48	5	27	5	6	1	2	1	4	4	6	1	1	6	1	1	2	4	1
1007509462	2020/10/09 17:56	2	20	3	23	4	10	1	2	2	2	5	6	1	1	4	1	1	1	1	1
1007519883	2020/10/09 22:39	1	31	4	28	5	6	1	2	1	3	1	6	6	1	6	2	2	2	3	1
1007529739	2020/10/09 20:42	1	38	4	19	4	4	1	2	1	3	1	2	5	1	6	2	2	3	2	2
1007536762	2020/10/09 20:53	1	32	4	40	8	1	2	1	2	3	1	1	1	6	6	3	3	1	1	1
1007540902	2020/10/09 18:52	1	42	5	13	3	3	1	2	1	4	6	6	1	1	3	3	3	2	2	2
1007566006	2020/10/09 18:00	1	40	5	23	4	4	1	2	1	4	1	1	1	1	6	3	3	3	3	2
1007573726	2020/10/09 17:59	1	26	3	27	5	4	2	1	1	2	1	6	1	1	1	3	2	3	2	2
1007574582	2020/10/09 19:11	1	34	4	10	3	6	1	2	1	3	6	6	6	6	6	1	1	1	1	1
1007576319	2020/10/09 18:26	2	14	1	14	3	10	1	2	2	1	1	6	1	1	6	3	3	2	1	2
1007580375	2020/10/10 15:43	2	19	2	40	8	11	1	2	2	1	4	6	1	1	1	3	3	3	3	3
1007582942	2020/10/09 22:04	1	40	5	23	4	4	2	1	1	4	1	6	3	1	5	2	2	2	3	2
1007589956	2020/10/09 22:23	2	23	3	28	5	5	1	2	2	2	1	3	1	1	1	4	3	2	3	1
1007598858	2020/10/09 20:37	2	15	2	15	4	10	1	2	2	1	6	6	1	1	6	4	2	2	2	3
1007603082	2020/10/09 22:10	2	42	5	22	4	8	2	1	2	4	1	6	6	6	6	4	1	1	1	1
1007603568	2020/10/09 21:39	2	22	3	27	5	10	1	2	2	2	2	2	2	1	1	1	1	1	2	2
1007634202	2020/10/09 22:36	2	20	3	12	3	10	1	2	2	2	1	6	1	1	1	3	3	3	3	3
1007648730	2020/10/09 20:08	1	37	4	29	5	11	1	2	1	3	2	6	6	5	6	2	3	2	3	2
1007654123	2020/10/09 20:18	2	24	3	22	4	8	2	1	2	2	1	6	1	1	5	3	3	3	2	3
1007657978	2020/10/09 23:39	2	38	4	11	3	11	2	1	2	4	1	1	1	1	1	4	4	4	3	4
1007658505	2020/10/09 18:47	2	47	5	22	4	9	2	1	2	4	1	6	1	1	5	3	3	3	3	2
1007662530	2020/10/09 17:57	1	48	5	40	8	4	1	2	1	4	1	6	1	1	6	2	2	2	2	2
1007689319	2020/10/09 22:47	2	31	4	45	8	3	1	2	2	3	4	5	1	5	5	2	2	1	2	2
1007696059	2020/10/10 00:47	1	21	3	12	3	9	1	2	1	2	1	6	1	1	6	3	1	3	2	1
1007714944	2020/10/09 22:41	2	23	3	43	8	1	1	2	2	2	1	6	1	2	5	2	3	3	2	3
1007716403	2020/10/09 18:46	1	29	3	23	4	3	1	2	1	2	1	1	1	1	1	4	4	3	4	4
1007737629	2020/10/09 20:36	1	35	4	13	3	11	2	1	1	3	2	6	4	4	5	3	3	2	2	3
1007742878	2020/10/09 23:02	2	18	2	17	4	10	1	2	2	1	1	5	1	1	4	3	4	2	3	2
1007746355	2020/10/09 19:37	1	25	3	14	3	3	2	1	1	3	6	6	6	6	6	4	4	4	4	4
1007747122	2020/10/09 17:59	2	16	2	13	3	10	1	2	2	1	4	6	3	1	3	2	3	3	3	2
1007762212	2020/10/09 18:42	2	46	5	37	7	9	2	1	2	4	1	6	6	4	5	3	3	2	2	3
1007763094	2020/10/10 00:33	2	31	4	40	8	5	1	2	2	3	6	6	1	1	4	1	2	3	2	3
1007763181	2020/10/10 02:28	2	13	1	28	5	10	1	2	2	1	1	6	1	2	4	3	3	3	3	3
1007763208	2020/10/09 18:39	1	35	4	27	5	5	1	2	1	3	1	6	1	1	5	1	1	1	1	2
1007796199	2020/10/10 00:28	2	21	3	28	5	10	1	2	2	2	1	6	1	1	5	3	3	3	3	3
1007797615	2020/10/10 01:25	2	29	3	47	8	4	2	1	2	2	1	6	1	5	6	4	4	3	2	3
1007804743	2020/10/09 21:57	2	36	4	13	3	8	2	2	2	3	1	5	1	1	4	2	2	2	2	3
1007818486	2020/10/09 21:34	2	29	3	15	4	5	1	2	2	2	1	1	1	1	4	1	1	1	1	1
1007823729	2020/10/09 19:21	1	49	5	16	4	4	2	1	1	4	1	6	6	6	6	3	2	2	2	2
1007830557	2020/10/09 18:11	2	28	3	11	3	3	1	2	2	2	1	3	1	1	1	3	4	2	2	3
1007846933	2020/10/09 20:50	1	17	2	44	8	10	2	2	1	1	4	6	1	1	6	3	3	2	2	3
1007847923	2020/10/10 00:44	1	19	2	28	5	9	1	2	1	2	4	6	1	1	5	2	2	1	2	3
1007858106	2020/10/09 18:36	1	20	3	38	7	10	1	2	1	2	1	6	1	1	3	2	2	2	2	2
1007860233	2020/10/09 23:22	1	16	2	40	8	10	1	2	1	1	1	6	1	1	6	4	4	3	2	3
1007869318	2020/10/09 18:00	2	24	3	22	4	7	1	2	2	2	1	6	1	1	5	3	4	3	3	3
1007873976	2020/10/09 18:29	2	47	5	21	4	4	2	1	2	4	1	3	6	1	3	3	4	3	2	2
1007876430	2020/10/09 18:33	2	34	4	23	4	8	2	1	2	3	1	6	4	4	5	3	3	1	1	3
1007883372	2020/10/10 07:37	2	37	4	13	3	8	2	2	2	3	1	6	1	3	2	3	3	3	3	3
1007887760	2020/10/09 19:37	1	16	2	12	3	10	1	2	1	1	3	6	1	4	6	4	4	2	2	3
1007888928	2020/10/09 21:44	2	27	3	27	5	5	1	2	2	2	1	6	1	1	5	1	1	2	1	1
1007890245	2020/10/09 21:23	2	31	4	12	3	9	2	2	2	3	6	6	4	1	6	3	3	4	4	3
